date,season,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,result,home_elo_before,away_elo_before,elo_diff,home_elo_trend_5,elo_change_home,elo_change_away,home_points_last5,away_points_last5,form_diff_points_last5,home_goals_scored_rm5,away_goals_conceded_rm5,home_form_ratio,away_form_ratio,home_gd_roll5,away_gd_roll5,avg_goal_diff_last5,home_cleansheets_last5,away_cleansheets_last5,home_btts_last5,p_home_market,p_draw_market,p_away_market,overround_wdl,p_home_fair,p_draw_fair,p_away_fair,round,max_round,is_first_half,season_half,days_since_season_start,rest_days_home,matches_last14_home,rest_days_away,matches_last14_away
2024-08-24,2024/2025,Man City,Ipswich,4,1,1.09,12.17,26.97,H,1516.5,1483.5,67.9,16.5,17.43,-17.43,,,3.0,2.0,2.0,1.0,,2.0,-2.0,4.0,1.0,0.0,0.0,0.9174311926605504,0.08216926869350863,0.03707823507601039,1.0366786964300694,0.884971588419669,0.07926204037612485,0.035766371204206136,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Southampton,Nott'm Forest,0,1,2.57,3.32,2.84,A,1489.0,1500.0,-32.3,-11.0,-10.65,10.65,,,-1.0,0.0,1.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.38910505836575876,0.30120481927710846,0.35211267605633806,1.0424225536992053,0.37326999208234357,0.2889469517022961,0.33778305621536026,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Tottenham,Everton,4,0,1.44,4.95,6.75,H,1500.0,1480.8,55.6,-0.0,18.18,-18.18,,,1.0,1.0,3.0,1.0,,0.0,-3.0,3.0,0.0,0.0,1.0,0.6944444444444444,0.20202020202020202,0.14814814814814814,1.0446127946127945,0.6647864625302176,0.19339242546333602,0.14182111200644643,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Aston Villa,Arsenal,0,2,4.41,3.92,1.78,A,1511.0,1516.5,-38.0,11.0,-16.24,16.24,,,0.0,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,0.0,1.0,1.0,0.22675736961451246,0.25510204081632654,0.5617977528089888,1.043657163239828,0.2172718950259383,0.2444308819041806,0.5382972230698809,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-25,2024/2025,Bournemouth,Newcastle,1,1,2.99,3.8,2.25,D,1500.0,1511.0,-10.3,-0.0,0.35,-0.35,,,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.33444816053511706,0.2631578947368421,0.4444444444444444,1.0420504997164035,0.3209519698192534,0.2525385236209388,0.4265095065598078,6,109,True,H1,9,7.0,0.0,7.0,0.0
2024-08-25,2024/2025,Wolves,Chelsea,2,6,4.37,4.0,1.77,A,1483.5,1483.5,-38.5,-16.5,-19.25,19.25,,,0.0,0.0,2.0,,,-2.0,-2.0,0.0,0.0,0.0,0.0,0.22883295194508008,0.25,0.5649717514124294,1.0438047033575095,0.21922966164936256,0.23950840535192863,0.5412619329987087,6,109,True,H1,9,7.0,0.0,7.0,0.0
2024-08-25,2024/2025,Liverpool,Brentford,2,0,1.25,6.78,10.37,H,1516.5,1511.0,38.0,16.5,16.24,-16.24,,,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.8,0.14749262536873156,0.09643201542912247,1.043924640797854,0.7663388416510348,0.14128665959642972,0.09237449875253553,6,109,True,H1,9,7.0,0.0,7.0,0.0
2024-08-31,2024/2025,Arsenal,Brighton,1,1,1.35,5.66,8.11,D,1532.7,1530.0,2.6,16.369999999999997,-0.09,0.09,,,0.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.7407407407407407,0.17667844522968199,0.12330456226880396,1.0407237482392266,0.7117553932962332,0.16976497896641604,0.1184796277373508,7,109,True,H1,15,14.0,1.0,14.0,1.0
2024-08-31,2024/2025,Brentford,Southampton,3,1,1.77,3.97,4.46,H,1494.8,1478.3,47.9,-2.619999999999999,15.72,-15.72,,,3.0,1.0,1.0,1.0,,-0.5,-1.0,0.5,0.0,0.0,1.0,0.5649717514124294,0.2518891687657431,0.2242152466367713,1.0410761668149437,0.5426805160095993,0.24195075902694982,0.21536872496345086,7,109,True,H1,15,13.0,1.0,14.0,1.0
2024-08-31,2024/2025,Everton,Bournemouth,2,3,2.78,3.4,2.59,A,1462.6,1500.3,-57.4,-18.715,-9.81,9.81,,,-2.0,0.0,1.0,,1.0,-3.5,0.0,-3.5,0.0,0.0,0.0,0.3597122302158274,0.29411764705882354,0.3861003861003861,1.039930263375037,0.34590033859424474,0.2828243944976471,0.3712752669081082,7,109,True,H1,15,14.0,1.0,14.0,1.0
